name,amount
Lost Report Expired,215
No Show,3
Missing,64
Returned to Owner,1753
Disposal,183
Transferred to Rescue Group,3965
Found Report Expired,15
Adopted,3644
Missing Report Expired,6
Foster,991
EMPTY,136
Released in Field,250
Trap Neuter/Spay Released,196
Euthanized,8291
Died,357
