name,amount
CHIHUAHUA SH - JACK RUSS TER,11
LABRADOR RETR - SIBERIAN HUSKY,10
AUST CATTLE DOG - AUST SHEPHERD,2
GREAT DANE - BOXER,4
NORFOLK TERRIER - DACHSHUND WH,1
POMERANIAN - YORKSHIRE TERR,1
BASSET HOUND - DACHSHUND,1
BOSTON TERRIER - POINTER,1
POINTER - COLLIE SMOOTH,2
COLLIE SMOOTH - PURE BRED,1
PIT BULL - PIT BULL,1
BEAUCERON - ROTTWEILER,1
JACK RUSS TER - SHIH TZU,6
FRENCH BULLDOG - PIT BULL,1
AMER FOXHOUND - MIX,4
SIAMESE - HIMALAYAN,2
BLOODHOUND - ROTTWEILER,1
RAT TERRIER - JACK RUSS TER,2
CHOW CHOW - BEAGLE,1
AUST CATTLE DOG - LABRADOR RETR,1
POODLE STND - MIX,5
ROTTWEILER - LABRADOR RETR,7
GERM SHEPHERD - DOBERMAN PINSCH,5
BOXER - BEAGLE,6
GREAT DANE - WHIPPET,2
DOMESTIC MH - DOMESTIC MH,4
BEAGLE - GERM SHEPHERD,5
BASENJI - MIX,2
PIT BULL - BULL TERRIER,3
JACK RUSS TER - ITAL GREYHOUND,1
PERSIAN - DOMESTIC LH,1
COLLIE SMOOTH - CATAHOULA,1
ENG FOXHOUND - GERM SHEPHERD,1
ENG COCKER SPAN - BEAGLE,4
GERM SHEPHERD - BLACK/TAN HOUND,4
YORKSHIRE TERR - POODLE TOY,3
CAIRN TERRIER - BORDER TERRIER,2
CAIRN TERRIER - POODLE MIN,1
DOMESTIC LH - DOMESTIC LH,2
COCKER SPAN - BEAGLE,9
GOLDEN RETR - MIX,31
BEAGLE - WELSH CORGI PEM,1
GERM SHEPHERD - MASTIFF,1
GREAT DANE - MIX,14
PRESA CANARIO - BOXER,1
AUST SHEPHERD - BERNESE MTN DOG,2
CANE CORSO - MIX,3
LABRADOR RETR - DACHSHUND,1
BOXER - GREAT DANE,1
SCHNAUZER STAND - PURE BRED,1
CHIHUAHUA SH - PURE BRED,3
STAFFORDSHIRE - MIX,1
DUCK - BLACK,4
ITAL GREYHOUND - RAT TERRIER,3
GERM SHEPHERD - PURE BRED,5
DACHSHUND WH - CHIHUAHUA SH,1
BORDER COLLIE - BEAGLE,4
ANATOL SHEPHERD - MIX,7
SCHNAUZER MIN - NORWICH TERRIER,1
BOXER - JACK RUSS TER,1
RUSSIAN BLUE - MIX,7
PUG - GERM SHEPHERD,1
PERSIAN - PURE BRED,1
ABYSSINIAN - MIX,5
BASSET HOUND - LABRADOR RETR,4
SHIBA INU - BASENJI,2
DOMESTIC SH - BOMBAY,1
AUST CATTLE DOG - JACK RUSS TER,1
SCHNAUZER MIN - POODLE MIN,1
BASSET HOUND - MIX,9
SIBERIAN HUSKY - PURE BRED,2
GERM SHEPHERD - GERM SHEPHERD,3
FOX TERR WIRE - CHIHUAHUA LH,1
CHOW CHOW - COCKER SPAN,1
COLLIE ROUGH - COCKER SPAN,1
LABRADOR RETR - BULL TERRIER,1
LABRADOR RETR - BORDER COLLIE,16
AUST TERRIER - MIX,2
CAVALIER SPAN - PUG,1
ST BERNARD RGH - PURE BRED,2
SHIH TZU - SHIH TZU,2
BERNESE MTN DOG - AUST CATTLE DOG,1
BULL TERR MIN - STAFFORDSHIRE,1
LIZARD - IGUANA,1
SHIH TZU - SCOT TERRIER,1
GERM SHEPHERD - WELSH CORGI CAR,1
JACK RUSS TER - POODLE MIN,1
BEAGLE - DACHSHUND WH,1
LABRADOR RETR - BLACK/TAN HOUND,1
PUG - AUST SHEPHERD,1
DACHSHUND WH - YORKSHIRE TERR,1
GLEN OF IMAAL - MIX,2
TIBETAN SPAN - BRITTANY,1
PUG - BOXER,1
BENGAL - MIX,26
DOMESTIC SH - JAPAN BOBTAIL,1
PEKINGESE - SHIH TZU,2
PUG - AMER ESKIMO,1
RAT TERRIER - BASENJI,1
BOXER - CHINESE SHARPEI,3
COLLIE SMOOTH - LABRADOR RETR,3
PAPILLON - MIX,3
TR WALKER HOUND - BLACK/TAN HOUND,1
BLUETICK HOUND - BOXER,2
LABRADOR RETR - MIX,475
CAVALIER SPAN - MIX,1
ANATOL SHEPHERD - BLACK MOUTH CUR,2
FLAT COAT RETR - BORDER COLLIE,1
BEAGLE - MIN PINSCHER,6
DALMATIAN - PIT BULL,4
PLOTT HOUND - DOBERMAN PINSCH,2
BRITTANY - MIX,3
JACK RUSS TER - PUG,1
SCHNAUZER MIN - PURE BRED,1
CHIHUAHUA SH - YORKSHIRE TERR,1
JACK RUSS TER - DALMATIAN,1
BEAGLE - ANATOL SHEPHERD,1
ROTTWEILER - AUST CATTLE DOG,1
REDBONE HOUND - MIX,3
ALASK MALAMUTE - MIX,9
FOX TERR WIRE - BEAGLE,1
POMERANIAN - CHOW CHOW,1
BORDER COLLIE - MANCHESTER TERR,1
GERM SHEPHERD - AUST CATTLE DOG,4
GERM SHEPHERD - CHOW CHOW,18
CHIHUAHUA LH - FLAT COAT RETR,1
CHIHUAHUA SH - BEAGLE,11
JACK RUSS TER - PIT BULL,3
PIT BULL - BASENJI,1
JACK RUSS TER - CHIHUAHUA SH,12
LABRADOR RETR - AUST SHEPHERD,1
YORKSHIRE TERR - DACHSHUND,1
GOLDEN RETR - BEAGLE,1
SHIH TZU - PUG,2
BEAGLE - SIBERIAN HUSKY,1
PATTERDALE TERR - MIX,1
CHOW CHOW - ST BERNARD RGH,1
DALMATIAN - BEAGLE,2
BLOODHOUND - LABRADOR RETR,1
PUG - PURE BRED,1
POINTER - PIT BULL,4
ALASK MALAMUTE - SIBERIAN HUSKY,1
